Section,Product Name,Chemical Name / Description,CAS Number,Grade / Traceability,Product Code,Pack Size,HSN Code,GST %,Other / Notes
Fine & Research Chemicals,AdSolve-H,,,LN,94273,1 L,27101990,18,
Fine & Research Chemicals,AdSolve-H,,,LN,94273,2.5 L,27101980,18,
Fine & Research Chemicals,Agar-agar (bacteriological grade),,9002-18-0,MolBio,92625,100 G,13023100,18,
Fine & Research Chemicals,Agar-agar (bacteriological grade),,9002-18-0,MolBio,92625,500 G,13023100,18,
Fine & Research Chemicals,Agar-agar (bacteriological grade),,9002-18-0,LR,90305,250 G,13023100,18,
Fine & Research Chemicals,Agar-agar (bacteriological grade),,9002-18-0,LR,90305,500 G,13023100,18,
Fine & Research Chemicals,Agar-agar (Tissue-culture grade),,9002-18-0,LR,90598,500 G,13023100,18,
Fine & Research Chemicals,"b-Alanine methyl ester hydrochloride, 98%",,3196-73-4,MolBio,92073,25 G,29224920,18,
Fine & Research Chemicals,"b-Alanine, 99%",,107-95-9,MolBio,92072,100 G,29224920,18,
Fine & Research Chemicals,"b-Alanine, 99%",,107-95-9,MolBio,92072,500 G,29224920,18,
Fine & Research Chemicals,Albumin bovine (Fraction V),,90604-29-8,LR,92638,25 G,35029000,18,
Fine & Research Chemicals,Albumin bovine (Fraction V),,90604-29-8,LR,92638,100 G,35029000,18,
Fine & Research Chemicals,Alcalase,,9014-01-1,MolBio,90938,500 G,35079069,18,
Fine & Research Chemicals,Aldehyde dehydrogenase,,9028-88-0,Enzyme,92929,25 U,35079069,18,
Fine & Research Chemicals,Alloxan(hydrate),,02244-11-3,LR,93577,250 G,29333990,18,
Fine & Research Chemicals,"Allyl bromide, 98% (3-Bromopropene)",,106-95-6,Synthesis,91964,500 ML,29420090,18,
Fine & Research Chemicals,"Allyl chloride, 98% (3-Chloropropene)",,107-05-1,Synthesis,92009,500 ML,29032900,18,
Fine & Research Chemicals,"Allyl glycidyl ether, 99%",,106-92-3,Synthesis,91902,100 ML,29109000,18,
Fine & Research Chemicals,Aluminium ammonium sulphate dodecahydrate,,7784-26-1,AR,90104,500 G,28333090,18,
Fine & Research Chemicals,Aluminium ammonium sulphate dodecahydrate,,7784-26-1,LR,90306,500 G,28333090,18,
Fine & Research Chemicals,Aluminium chloride anhydrous,,7446-70-0,AR,90105,500 G,28273200,18,
Fine & Research Chemicals,Aluminium chloride anhydrous,,7446-70-0,LR,90307,500 G,28273200,18,
Fine & Research Chemicals,Aluminium chloride hexahydrate,,7784-13-6,LR,93313,500 G,28273200,18,
Fine & Research Chemicals,Aluminium metal,,7429-90-5,LR,90308,500 G,28051900,18,
Fine & Research Chemicals,Aluminium nitrate nonahydrate,,7784-27-2,AR,91561,500 G,28342990,18,
Fine & Research Chemicals,Aluminium nitrate nonahydrate,,7784-27-2,LR,90309,500 G,28342990,18,
Fine & Research Chemicals,Aluminium oxide active acidic,,1344-28-1,LR,90310,250 G,28182010,18,
Fine & Research Chemicals,Aluminium oxide active acidic,,1344-28-1,LR,90310,500 G,28182010,18,
Fine & Research Chemicals,Aluminium oxide active basic,,1344-28-1,LR,90311,500 G,28182010,18,
Fine & Research Chemicals,Aluminium oxide active neutral,,1344-28-1,LR,90312,500 G,28182010,18,
Fine & Research Chemicals,Aluminium potassium sulphate dodecahydrate,,7784-24-9,AR,90106,500 G,28332900,18,
Fine & Research Chemicals,Aluminium potassium sulphate dodecahydrate,,7784-24-9,LR,90314,500 G,28332900,18,
Fine & Research Chemicals,Aluminium sulphate hydrate,,17927-65-0,AR,90107,500 G,28332210,18,
Fine & Research Chemicals,Aluminium sulphate hydrate,,17927-65-0,LR,90315,500 G,28332210,18,
Fine & Research Chemicals,Aluminium sulphate hexadecahydrate,,16828-11-8,LR,93311,500 G,28332210,18,
Fine & Research Chemicals,Aluminium sulphate octadecahydrate,,7784-31-8,LR,93536,500 G,28332210,18,
Fine & Research Chemicals,2-Amino-2-methyl-1-propanol,,124-68-5,LR,92591,1 KG,29221900,18,
Fine & Research Chemicals,"4-Aminoantipyrine, 99%",,83-07-8,AR,91519,25 G,29333990,18,
Fine & Research Chemicals,"4-Aminoantipyrine, 99%",,83-07-8,AR,91519,100 G,29333990,18,
Fine & Research Chemicals,4-Aminobenzoic acid,,150-13-0,LR,93221,100 G,29224990,18,
Fine & Research Chemicals,"2-Aminoisobutyric acid, 98%",,62-57-7,MolBio,92131,25 G,29224990,18,
Fine & Research Chemicals,"2-Aminoisobutyric acid, 98%",,62-57-7,MolBio,92131,100 G,29224990,18,
Fine & Research Chemicals,"4-Aminomorpholine, 98%",,4319-49-7,Synthesis,90968,10 G,29349990,18,
Fine & Research Chemicals,"4-Aminomorpholine, 98%",,4319-49-7,Synthesis,90968,25 G,29349990,18,
Fine & Research Chemicals,"4-Aminophenol, 98%",,123-30-8,Synthesis,91912,100 G,29335990,18,
Fine & Research Chemicals,"4-Aminophenol, 98%",,123-30-8,Synthesis,91912,500 G,29335990,18,
Fine & Research Chemicals,"1-Aminopyridinium iodide, 98%",,6295-87-0,Synthesis,92409,5 G,29333919,18,
Fine & Research Chemicals,Ammonia buffer solution,,1336-21-6,LR,91717,500 ML,38220090,12,
Fine & Research Chemicals,Ammonia solution (6.0N),,1336-21-6,Solution,97185,500 ML,28142000,18,
Fine & Research Chemicals,Ammonia solution Sp. Gr. 0.91,,1336-21-6,AR,90108,500 ML,28142000,18,
Fine & Research Chemicals,Ammonia solution Sp. Gr. 0.91,,1336-21-6,AR,90108,2.5 L,28142000,18,
Fine & Research Chemicals,Ammonia solution Sp. Gr. 0.91,,1336-21-6,AR,90108,5 L,28142000,18,
Fine & Research Chemicals,Ammonia solution Sp. Gr. 0.91,,1336-21-6,LR,90316,500 ML,28142000,18,
Fine & Research Chemicals,Ammonia solution Sp. Gr. 0.91,,1336-21-6,LR,90316,2.5 L,28142000,18,
Fine & Research Chemicals,Ammonia solution Sp. Gr. 0.91,,1336-21-6,LR,90316,5 L,28142000,18,
Fine & Research Chemicals,Ammonium acetate,,631-61-8,LC-MS,98716,50 G,29152990,18,
Fine & Research Chemicals,Ammonium acetate,,631-61-8,LC-MS,98716,500 G,29152990,18,
Fine & Research Chemicals,Ammonium acetate,,631-61-8,HPLC,90007,500 G,29152990,18,
Fine & Research Chemicals,Ammonium acetate,,631-61-8,AR,90109,500 G,29152990,18,
Fine & Research Chemicals,Ammonium acetate,,631-61-8,AR,90109,1 KG,29152990,18,
Fine & Research Chemicals,Ammonium acetate,,631-61-8,LR,90317,500 G,29152990,18,
Fine & Research Chemicals,Ammonium bicarbonate,,1066-33-7,LR,90318,500 G,28369990,18,
Fine & Research Chemicals,Ammonium bifluoride,,1341-49-7,AR,90110,500 G,28261990,18,
Fine & Research Chemicals,Ammonium bifluoride,,1341-49-7,LR,90319,500 G,28261990,18,
Fine & Research Chemicals,Ammonium bromide,,12124-97-9,AR,90111,500 G,28275990,18,
Fine & Research Chemicals,Ammonium bromide,,12124-97-9,LR,90320,500 G,29239000,18,
Fine & Research Chemicals,Ammonium carbonate,,10361-29-2,AR,90112,500 G,28361000,18,
Fine & Research Chemicals,Ammonium carbonate,,10361-29-2,LR,90321,500 G,28361000,18,
Fine & Research Chemicals,Ammonium cerric nitrate,,16774-21-3,AR,90113,100 G,29342990,18,
Fine & Research Chemicals,Ammonium cerric nitrate,,16774-21-3,LR,90322,100 G,29342990,18,
Fine & Research Chemicals,Ammonium cerric sulphate dihydrate,,10378-47-9,AR,90272,100 G,38220090,18,
Fine & Research Chemicals,Ammonium cerric sulphate dihydrate,,10378-47-9,LR,90323,100 G,38220090,18,
Fine & Research Chemicals,Ammonium chloride,,12125-02-9,AR,90114,500 G,28271000,18,
Fine & Research Chemicals,Ammonium chloride,,12125-02-9,LR,90324,500 G,28271000,18,
Fine & Research Chemicals,Ammonium chloride,,12125-02-9,LR,90324,1 KG,28271000,18,
Fine & Research Chemicals,Ammonium chloride,,12125-02-9,LR,90324,5 KG,28271000,18,
Fine & Research Chemicals,Ammonium citrate tribasic,,3458-72-8,LR,90325,500 G,29181590,18,
Fine & Research Chemicals,Ammonium dichromate,,7789-09-5,LR,90326,500 G,28415090,18,
Fine & Research Chemicals,Ammonium ferric citrate,,1185-57-5,AR,91565,500 G,29130090,18,
Fine & Research Chemicals,Ammonium ferric citrate,,1185-57-5,LR,90751,500 G,29181550,18,
Fine & Research Chemicals,Ammonium ferric sulphate dodecahydrate,,7783-83-7,AR,90115,500 G,29130090,18,
Fine & Research Chemicals,Ammonium ferric sulphate dodecahydrate,,7783-83-7,LR,90327,500 G,29130090,18,
Fine & Research Chemicals,Ammonium ferrous sulphate hexahydrate,,7783-85-9,AR,90116,500 G,28332990,18,
Fine & Research Chemicals,Ammonium ferrous sulphate hexahydrate,,7783-85-9,LR,90328,500 G,28332990,18,
Fine & Research Chemicals,Ammonium ferrous sulphate hexahydrate,,7783-85-9,LR,90328,1 KG,28332990,18,
Fine & Research Chemicals,Ammonium fluoride,,12125-01-8,AR,90117,250 G,28269000,18,
Fine & Research Chemicals,Ammonium fluoride,,12125-01-8,LR,90329,500 G,28269000,18,
Fine & Research Chemicals,Ammonium formate,,540-69-2,AR,96002,500 G,29151100,18,
Fine & Research Chemicals,Ammonium formate,,540-69-2,LR,90330,250 G,29151290,18,
Fine & Research Chemicals,Ammonium formate,,540-69-2,LR,90330,500 G,29151290,18,
Fine & Research Chemicals,Ammonium heptamolybdate,,12054-85-2,LR,91900,250 G,28417090,18,
Fine & Research Chemicals,"Ammonium iodide, 99%",,12027-06-4,LR,92342,100 G,28276090,18,
Fine & Research Chemicals,"Ammonium iodide, 99%",,12027-06-4,LR,92342,250 G,28276090,18,
Fine & Research Chemicals,Ammonium metavanadate,,7803-55-6,AR,96044,500 G,28253090,18,
Fine & Research Chemicals,Ammonium metavanadate,,7803-55-6,LR,93024,500 G,28253090,18,
Fine & Research Chemicals,Ammonium molybdate tetrahydrate,,12054-85-2,AR,90118,100 G,28417090,18,
Fine & Research Chemicals,Ammonium molybdate tetrahydrate,,12054-85-2,AR,90118,500 G,28417090,18,
Fine & Research Chemicals,Ammonium molybdate tetrahydrate,,12054-85-2,AR,90118,1 KG,28417090,18,
Fine & Research Chemicals,Ammonium molybdate tetrahydrate,,12054-85-2,LR,90331,100 G,28417090,18,
Fine & Research Chemicals,Ammonium molybdate tetrahydrate,,12054-85-2,LR,90331,500 G,28417090,18,
Fine & Research Chemicals,Ammonium molybdate tetrahydrate,,12054-85-2,LR,90331,1 KG,28417090,18,
Fine & Research Chemicals,Ammonium oxalate monohydrate,,6009-70-7,LR,90332,500 G,29171190,18,
Fine & Research Chemicals,Ammonium persulphate,,7727-54-0,AR,90119,500 G,28334000,18,
Fine & Research Chemicals,Ammonium persulphate,,7727-54-0,LR,90333,500 G,28334000,18,
Fine & Research Chemicals,Ammonium persulphate Ammonium phosphate dibasic,,7727-54-0,LR,90333,5 KG,28334000,18,
Fine & Research Chemicals,(Diammonium hydrogen orthophosphate) Ammonium phosphate dibasic,,7783-28-0,AR,90120,500 G,28352990,18,
Fine & Research Chemicals,(Diammonium hydrogen orthophosphate) Ammonium phosphate monobasic,,7783-28-0,LR,90334,500 G,28352990,18,
Fine & Research Chemicals,(Ammonium dihydrogen orthophosphate) Ammonium phosphate monobasic,,7722-76-1,HPLC,90008,500 G,28352990,18,
Fine & Research Chemicals,(Ammonium dihydrogen orthophosphate) Ammonium phosphate monobasic,,7722-76-1,AR,90121,500 G,28352990,18,
Fine & Research Chemicals,(Ammonium dihydrogen orthophosphate),,7722-76-1,LR,90335,500 G,31053000,18,
Fine & Research Chemicals,Ammonium purpurate (Murexide),,3051-09-0,AR,91530,25 G,29252090,18,
Fine & Research Chemicals,Ammonium purpurate (Murexide),,3051-09-0,AR,91530,100 G,29252090,18,
Fine & Research Chemicals,Ammonium sulphate,,7783-20-2,AR,90122,500 G,28332990,18,
Fine & Research Chemicals,Ammonium sulphate,,7783-20-2,LR,90336,500 G,28332990,18,
Fine & Research Chemicals,Ammonium sulphide 20% solution in water,,12135-76-1,Solution,93613,500 ML,28309010,18,
Fine & Research Chemicals,Ammonium thiocyanate,,1762-95-4,AR,90123,500 G,28372090,18,
Fine & Research Chemicals,Ammonium thiocyanate,,1762-95-4,LR,90337,500 G,28372090,18,
